vessel_id,received_time_utc,latitude,longitude
5091,09:19.0,16.67003,-18.33914
4378,21:46.0,24.1991,58.423
4378,09:23.0,-28.977517,32.4705
5091,20:50.0,16.71086,-18.33712
5091,25:30.0,16.72735,-18.33633
5291,58:40.0,30.72342,123.82972
5291,25:43.0,25.9222,51.61132
5091,04:00.0,0.477968,-1.792835
5091,03:09.0,15.12994,-18.41933
5091,28:11.0,16.73682,-18.33585
5091,33:03.0,36.16499,-5.418145
4378,43:11.0,25.35307,56.54188
5291,29:28.0,22.4033,63.94077
5091,29:10.0,16.74038,-18.33568
5091,29:03.0,25.83703,-79.54831
4378,21:00.0,-25.47953,0.71415
4378,19:43.0,-29.1848,32.307483
5091,25:55.0,26.0661,-79.42179
5291,43:39.0,25.92227,51.61135
5291,31:48.0,22.40037,63.9488
5091,31:41.0,16.74919,-18.33525
5291,32:59.0,22.39893,63.95277
5091,33:00.0,16.75399,-18.33502
5291,23:49.0,24.19918,122.7175
5291,36:59.0,22.39395,63.96638
5091,37:49.0,16.77105,-18.33415
5091,21:36.0,8.130417,-17.430508
5291,26:55.0,1.26205,103.905217
4378,33:53.0,-29.2306,32.2824
5291,55:40.0,25.92225,51.61137
5291,39:19.0,22.39093,63.97437
5091,38:49.0,16.77466,-18.33396
5091,07:09.0,15.1159,-18.42003
5291,42:58.0,22.38647,63.98693
5291,45:40.0,22.38322,63.99617
5091,43:21.0,16.7823,-18.33353
5091,42:05.0,36.16489,-5.418122
5091,49:39.0,16.8131,-18.3319
5091,30:00.0,38.3238,-74.50944
5091,50:47.0,16.81428,-18.33184
5091,55:30.0,16.83373,-18.3309
5091,13:19.0,15.09387,-18.4211
5091,57:00.0,16.83915,-18.3306
5091,01:34.0,16.85499,-18.32987
5291,10:42.0,25.92232,51.61135
5091,02:52.0,16.85975,-18.32964
5291,43:41.0,25.92235,51.61142
5091,40:54.0,38.9667,-75.19974
5091,07:50.0,16.87737,-18.3287
5091,54:02.0,36.16488,-5.418135
5291,49:30.0,22.37828,64.00947
5091,08:59.0,16.88141,-18.32849
5291,49:42.0,25.92227,51.61137
5291,13:28.0,22.34575,64.09328
5091,13:39.0,16.8981,-18.32757
5091,39:06.0,0.477828,-1.91887
5291,14:59.0,22.34362,64.09882
5091,15:51.0,16.90581,-18.32711
5291,01:43.0,25.92232,51.61132
5091,17:15.0,16.698392,-18.33773
5291,27:10.0,24.19382,122.7287
5091,17:07.0,15.08035,-18.4217
5291,18:49.0,22.33835,64.11235
5091,19:29.0,16.91889,-18.32634
4378,28:04.0,-29.21175,32.2928
4378,58:17.0,25.35288,56.54182
5091,55:54.0,38.96679,-75.19963
5091,21:50.0,16.92736,-18.32581
5291,25:39.0,25.9223,51.61135
5091,06:02.0,36.16491,-5.418118
5091,25:29.0,16.94027,-18.32516
5291,52:41.0,25.92232,51.61137
5091,56:45.0,38.967037,-75.195425
5091,42:00.0,0.477897,-1.928528
5091,33:33.0,16.95999,-18.32418
5091,50:02.0,0.478028,-2.175512
5091,27:50.0,16.94871,-18.32474
5291,55:41.0,25.92235,51.61138
5291,16:39.0,25.92228,51.61137
5091,58:09.0,16.84316,-18.33039
5091,23:00.0,15.05961,-18.42276
5091,37:29.0,16.98338,-18.32292
5091,12:02.0,36.16477,-5.418068
5091,39:41.0,16.99118,-18.32249
5291,31:39.0,25.92233,51.6113
5291,55:42.0,25.92228,51.61132
5091,44:49.0,17.00978,-18.32146
5291,07:41.0,25.92232,51.61133
5091,43:39.0,17.0055,-18.3217
5091,59:00.0,0.478308,-2.624448
5291,55:43.0,25.92228,51.61132
5091,28:12.0,16.94985,-18.32469
5091,48:50.0,17.02426,-18.32064
5091,51:10.0,17.03258,-18.32027
5291,19:42.0,25.92227,51.61133
5091,21:00.0,0.478877,-2.704815
5291,40:39.0,25.9223,51.61133
5091,52:26.0,0.478467,-2.394382
5091,19:44.0,38.966483,-75.199495
5091,28:50.0,15.03892,-18.42392
5091,18:03.0,36.16467,-5.418028
5291,52:40.0,25.92228,51.61135
5291,28:12.0,24.1922,122.73205
5091,58:15.0,17.05756,-18.31888
5291,30:34.0,25.92232,51.61135
5291,01:40.0,25.92227,51.61138
5291,37:15.0,25.9223,51.61138
5291,24:33.0,25.92228,51.61135
5091,59:01.0,17.06051,-18.31868
5091,00:32.0,17.06595,-18.31829
5091,03:09.0,17.07528,-18.3177
5091,19:53.0,16.920682,-18.326232
5091,24:04.0,36.16459,-5.417975
5091,58:10.0,0.478308,-2.624448
5091,30:10.0,15.0343,-18.42417
5091,25:55.0,38.96676,-75.19966
5091,06:59.0,17.089,-18.31701
4378,25:19.0,25.35272,56.54185
